municipio_id,municipio_nombre,municipio_lat,municipio_lon,provincia_id
380252,SANTA CLARA,-24.2734316258699145,-64.6096326715893667,38
380329,TILCARA,-23.6181762353082405,-65.2742920000779208,38
380406,LA QUIACA,-22.1475151640072951,-65.6497996902659082,38
386007,ABDÓN CASTRO TOLAY,-23.3201640640822241,-65.9917423948271278,38
386014,ABRALAITE,-23.1358937646647433,-65.7922094301539602,38
386021,PUESTO DEL  MARQUÉS,-22.5922176518710778,-65.6032729734535707,38
386028,YALA,-24.0245351929013253,-65.4612010689141641,38
386035,AGUAS CALIENTES,-24.5653059933412266,-64.9371057987964235,38
386042,PAMPA BLANCA,-24.5380294825292644,-65.0401221007485475,38
386049,PUESTO VIEJO,-24.4724198554792203,-64.958933317620847,38
386056,HIPÓLITO YRIGOYEN,-22.8761978101490122,-65.3462154739535208,38
386063,TRES CRUCES,-22.9377695400232291,-65.5450743065681678,38
386070,MINA PIRQUITAS,-22.7192976639660351,-66.6315369299640707,38
386077,RINCONADA,-22.4660000653538852,-66.1133735661478141,38
386084,SAN ANTONIO,-24.3467258627678049,-65.4468529258409006,38
386091,ARRAYANAL,-24.1313201861623519,-64.7788900953339493,38
386098,EL FUERTE,-24.3217934967158413,-64.4580224346764226,38
386105,RODEÍTO,-24.308415962954399,-64.7978944714527074,38
386112,ROSARIO DE RÍO GRANDE,-24.3672726216848581,-64.9045281380552694,38
386119,EL PIQUETE,-24.0318634646700602,-64.5780392132909498,38
386126,VINALITO,-23.7307638894877364,-64.3534086128734373,38
386133,CIENEGUILLAS,-22.1254725215270618,-65.9419011195485041,38
386140,CUSI CUSI,-22.4474904125097154,-66.673920759070441,38
386147,SANTA CATALINA,-22.0322033691541073,-66.1405716072481056,38
386154,CATUA,-23.66010372615035,-66.9591888909713475,38
386161,CORANZULI,-23.194626094951218,-66.614526284725045,38
386168,SUSQUES,-23.7054223180767032,-66.5588749659573011,38
386175,HUACALERA,-23.3977683815659319,-65.3946655371627372,38
386182,MAIMARÁ,-23.6423715717053291,-65.4364492243532538,38
386189,PURMAMARCA,-23.7073529764014879,-65.7590928734087043,38
386196,TUMBAYA,-23.8140533222167079,-65.4938002318189234,38
386203,VOLCÁN,-23.899326838187342,-65.4107118105984284,38
386210,CASPALÁ,-23.344631709967814,-65.0831777531169706,38
386217,PAMPICHUELA,-23.5633995980457556,-65.045223227279692,38
386224,SAN FRANCISCO,-23.6236121126706173,-64.9242015066972442,38
386231,SANTA ANA,-23.362972737225153,-64.9607058736901166,38
386238,VALLE GRANDE,-23.4986285822547565,-64.930575276251588,38
386245,BARRIOS,-22.2821895352064701,-65.5258263700185921,38
386252,CANGREJILLOS,-22.443899959547565,-65.5405751330490745,38
386259,EL CÓNDOR,-22.414030404423972,-65.3795310298622923,38
386266,PUMAHUASI,-22.3191975563463068,-65.7808960012592649,38
386273,YAVI,-22.1949119799290955,-65.3412864273207674,38
420007,ABRAMO,-37.9218412713365609,-64.1906632402765212,42
420011,ALGARROBO DEL  ÁGUILA,-36.4002145195533799,-67.408792056852306,42
420014,ALPACHIRI,-37.3878939429661088,-63.8366890133505365,42
420021,ALTA ITALIA,-35.3498672141462151,-64.0994549558220967,42
420028,ANGUIL,-36.5543101532231347,-64.0452421264359515,42
420035,ARATA,-35.639651064082102,-64.3719606689049897,42
420042,ATALIVA ROCA,-36.9558969256195269,-64.3793681609510173,42
420049,BERNARDO LARROUDE,-35.0688510274547838,-63.4949611104079281,42
420056,BERNASCONI,-38.1726373832168022,-64.0988711483354621,42
420063,CALEUFÚ,-35.6439826197757412,-64.5916676567603787,42
420070,CARRO QUEMADO,-36.6770495426264276,-65.3294244941345426,42
420077,CATRILÓ,-36.4566752503383995,-63.4792036669961277,42
420084,CEBALLOS,-35.262717659407727,-63.8110073128559918,42
420091,COLONIA BARÓN,-36.2070971406290951,-63.8361884288235828,42
420098,CONHELO,-35.989578898804389,-64.6068637776844952,42
420105,CORONEL HILARIO LAGOS,-35.0850242945420376,-63.8577976411478545,42
420112,DOBLAS,-37.1752576653958755,-64.0061584536092454,42
420116,DORILA,-35.7922732986449716,-63.7458253289186274,42
420119,EDUARDO CASTEX,-35.9371265801400881,-64.3296829486187534,42
420126,EMBAJADOR MARTINI,-35.3612111194717968,-64.2940729256624621,42
420133,GENERAL ACHA,-37.6096833380063131,-65.0659942392503297,42
420140,GENERAL CAMPOS,-37.3995272293203556,-63.5266190870234553,42
420147,GENERAL PICO,-35.5797742856039676,-63.6162749709165141,42
420154,GENERAL SAN MARTÍN,-38.2823959989124276,-63.7483607116489353,42
420161,GUATRACHÉ,-37.6718770730308492,-63.6737487898962158,42
420168,INGENIERO LUIGGI,-35.3868979248350684,-64.6342119573137666,42
420175,INTENDENTE ALVEAR,-35.2731377859157504,-63.5508311755451416,42
420182,JACINTO ARAUZ,-38.2691742864471465,-63.4812273049457971,42
420189,LA ADELA,-38.7835189351641105,-64.1118204002918048,42
420196,LA HUMADA,-36.3956465607268527,-67.9743018865440689,42
420210,LA MARUJA,-35.6516430074803239,-65.0038539234569868,42
420217,LONQUIMAY,-36.4918397041486458,-63.6376677251470468,42
420224,LUAN TORO,-36.244121325494028,-65.0217182225343606,42
420231,MACACHÍN,-37.12295505308375,-63.6943937231620794,42
420238,MAURICIO MAYER,-36.2357896411950051,-64.0688110278832141,42
420245,METILEO,-35.818753313322766,-63.9455158938857338,42
420252,MIGUEL CANÉ,-36.1708849475111265,-63.5209715100293906,42
420259,MIGUEL RIGLOS,-36.8320346409974064,-63.7976877058672684,42
420266,MONTE NIEVAS,-35.8739584862966012,-64.1173404843674888,42
420273,PARERA,-35.1852121657451775,-64.4993137537235413,42
420280,PUELCHES,-38.0312653577146946,-66.0568431795001914,42
420287,PUELÉN,-37.1503128326127552,-67.6700354194202447,42
420294,QUEHUÉ,-37.1049269830237236,-64.7100455299848107,42
420301,QUEMÚ QUEMÚ,-35.9899232091811854,-63.5963423365354856,42
420308,RANCUL,-35.1568500131534094,-64.8706864412113475,42
420315,REALICÓ,-35.1055266288962002,-64.2414455593926164,42
420322,ROLÓN,-37.123144146263968,-63.4697507510433496,42
420329,SANTA ISABEL,-36.4241719901827352,-66.6047431635362557,42
420336,SANTA ROSA,-36.5322365145791252,-64.4089343089285649,42
420343,SANTA TERESA,-37.5577310761252434,-63.5302848624150727,42
420350,TELÉN,-36.5134528460899901,-65.7900333947797407,42
420357,TOAY,-36.6824756333842359,-64.7196040508548691,42
420364,TOMÁS MANUEL ANCHORENA,-36.8296816826030522,-63.4977798993705775,42
420371,TRENEL,-35.6413010481655306,-64.1226949154921044,42
420378,URIBURU,-36.5083737162916009,-63.8303238811821529,42
420385,VEINTICINCO DE MAYO,-37.7967978817517434,-67.3033281981441291,42
420392,VÉRTIZ,-35.4203277421275828,-63.9035759107821519,42
420399,VICTORICA,-36.0952859514656978,-65.8441622972005547,42
420406,VILLA MIRASOL,-36.0084630949925,-63.9307226012965728,42
420413,WINIFREDA,-36.261182010103191,-64.4552441731365917,42
422007,CASA DE PIEDRA,-38.2360587226758781,-66.9836778535491675,42
425007,ADOLFO VAN PRAET,-35.0687880041611066,-64.0161738244231202,42
425014,AGUSTONI,-35.7927871529689341,-63.4827268346080729,42
425028,COLONIA SANTA MARÍA,-37.4369062402096517,-64.1768424743253263,42
425042,CUCHILLO CÓ,-38.2880644808570807,-64.815455641066734,42
425049,CHACHARRAMENDI,-37.2319839948441569,-65.7044365848260128,42
425063,FALUCHO,-35.1878951146314449,-64.0782858104043243,42
425070,GOBERNADOR DUVAL,-38.5453661204737088,-65.8572271584388176,42
425077,LA REFORMA,-37.4347070443003318,-66.2286938603008082,42
425084,LIMAY MAHUIDA,-37.1076410505622434,-66.64479343823308,42
425091,LOVENTUÉ,-36.1713696479035036,-65.250893879372569,42
425098,MAISONNAVE,-35.0449274835384799,-64.4002912370171003,42
425105,PERÚ,-37.6579811945705458,-64.0516815451907462,42
425112,PICHI HUINCA,-35.6486769518977482,-64.7947455489824478,42
425119,QUETREQUÉN,-35.0450496068839144,-64.5365926709591662,42
425126,RELMO,-36.2436590954093703,-63.4979561556210683,42
425133,RUCANELO,-36.0180946638784789,-64.8376588340502167,42
425140,SARAH,-35.0689021449120659,-63.6874058774599163,42
425147,SPELUZZI,-35.5333472823629535,-63.8703933569322331,42
425154,UNANUE,-37.6124085825330425,-64.3643426957669931,42
460007,ARAUCO,-28.5330735277515579,-66.7191515034156026,46
460014,CAPITAL,-29.460489857935773,-66.3525089002799291,46
460021,CASTRO BARROS,-28.8599829479000825,-66.9185847556269096,46
460028,CORONEL FELIPE VARELA,-29.4497956052040415,-68.3284822964494225,46
460035,CHAMICAL,-30.1677065304375169,-65.9562869452051785,46
460042,CHILECITO,-29.3959374753196343,-67.4278867892017217,46
460049,FAMATINA,-28.6973037998884308,-67.5592920371099268,46
460056,GENERAL ÁNGEL VICENTE PEÑALOZA,-30.3128975389813924,-66.6630521188972409,46
460063,GENERAL BELGRANO,-30.577691650215165,-65.9316310510946693,46
460070,GENERAL JUAN FACUNDO QUIROGA,-30.8009590345359925,-66.8681045144560073,46
460077,GENERAL LAMADRID,-28.7904353562757045,-68.6977547342455495,46
460084,GENERAL OCAMPO,-31.0066417358943127,-66.0590548631785168,46
460091,GENERAL SAN MARTÍN,-31.6413069709298824,-66.1459756727951458,46
460098,VINCHINA,-28.3164203776533299,-68.5253984631141577,46
460105,INDEPENDENCIA,-30.1144612462884211,-67.3355202231145284,46
460112,ROSARIO VERA PEÑALOZA,-31.4205977732086339,-66.6788621651991207,46
460119,SAN BLAS DE LOS  SAUCES,-28.5433309062698619,-67.1581530652484844,46
460126,SANAGASTA,-29.1585269700687668,-67.0658836337792508,46
500007,CAPITAL,-32.880654104798495,-68.8921657602391662,50
500014,GENERAL ALVEAR,-35.2178364156831663,-67.080447328942725,50
500021,GODOY CRUZ,-32.9297600556688508,-68.8890844545154977,50
500028,GUAYMALLÉN,-32.8910429154042347,-68.7323728513947856,50
500035,JUNÍN,-33.1462075241433496,-68.4803420038398656,50
500042,LA PAZ,-33.7114684971788918,-67.2475409227543821,50
500049,LAS HERAS,-32.5247668775426462,-69.2671757239401131,50
500056,LAVALLE,-32.5825853677510437,-67.889072704967063,50
500063,LUJÁN DE CUYO,-33.0382520812749263,-69.4437142136648333,50
500070,MAIPÚ,-32.9775099458465704,-68.652173990416415,50
500077,MALARGÜE,-36.1572730441954135,-69.3135099463235349,50
500084,RIVADAVIA,-33.4197071097540004,-68.6121759957282933,50
500091,SAN CARLOS,-34.0753663961096009,-69.0977010128895728,50
500098,SAN MARTÍN,-32.9088785853185115,-68.2844229443887087,50
500105,SAN RAFAEL,-34.9445449683129681,-68.382678312489503,50
500112,SANTA ROSA,-33.6177946030972805,-67.9636620466004615,50
500119,TUNUYÁN,-33.6223342938161807,-69.5078054633830362,50
500126,TUPUNGATO,-33.2915070191449871,-69.3019667535029527,50
540007,APÓSTOLES,-27.9025022905258204,-55.7217304493641237,54
540014,AZARA,-28.0544358853963907,-55.6663453779072839,54
540021,SAN JOSÉ,-27.7754603717937414,-55.6691612915895249,54
540028,TRES CAPONES,-27.9918146633048792,-55.614137708092855,54
540035,ARISTÓBULO DEL VALLE,-27.1247440389736028,-54.8269103165253497,54
540042,CAMPO GRANDE,-27.2318963611694045,-54.9614135308370422,54
540049,DOS DE MAYO,-27.0916027750349393,-54.6114381158114881,54
540056,BONPLAND,-27.4778638061425227,-55.4718692017467063,54
540063,CANDELARIA,-27.4689188332011867,-55.7145175073734364,54
540070,CERRO CORÁ,-27.5269569187276488,-55.6020787955219546,54
540077,LORETO,-27.3567760317074899,-55.512707335310381,54
540084,MÁRTIRES,-27.4192742863884895,-55.3818743554228661,54
540091,PROFUNDIDAD,-27.5596067764968247,-55.7184719443713021,54
540098,SANTA ANA,-27.4093121831825428,-55.5975181316591289,54
540105,FACHINAL,-27.6682436215363197,-55.7524063308179691,54
540112,GARUPÁ,-27.5440492834756405,-55.8649965962928974,54
540119,POSADAS,-27.4338171392784531,-55.9588395478271892,54
540126,CONCEPCIÓN DE LA SIERRA,-27.9975106090559187,-55.516164296025778,54
540133,SANTA MARÍA,-27.8747754650078576,-55.4252777120984916,54
540140,COLONIA DELICIA,-26.2054681649102186,-54.396871890178133,54
540147,COLONIA VICTORIA,-26.3079117238365505,-54.4956399291883002,54
540154,ELDORADO,-26.4223788581656649,-54.6153014553097194,54
540161,9 DE JULIO,-26.434887611439418,-54.4912136871941399,54
540168,SANTIAGO DE LINIERS,-26.4059052828745777,-54.3574983163211485,54
540175,BERNARDO DE IRIGOYEN,-26.1817820643676065,-53.946448027282571,54
540182,COMANDANTE A. GUACURARY,-25.7226094659073823,-54.0113111967569708,54
540189,SAN ANTONIO,-25.9963679675544626,-53.9385338267044929,54
540196,EL SOBERBIO,-27.0791879419082058,-54.1568795747352638,54
540203,SAN VICENTE,-26.9628192811879472,-54.4040788497149208,54
540210,PUERTO ESPERANZA,-26.0812488812615264,-54.4721723500383206,54
540217,IGUAZÚ,-25.6745733703586616,-54.3757510644289326,54
540224,LIBERTAD,-25.8492622245533958,-54.4206259685073235,54
540231,COLONIA WANDA,-25.9807484033979428,-54.3100077563901067,54
540238,ALMAFUERTE,-27.5255595161850977,-55.387471713783043,54
540245,ARROYO DEL MEDIO,-27.7292589296399044,-55.3978728810583974,54
540252,CAA YARÍ,-27.5172025944507119,-55.3054526023441682,54
540259,CERRO AZUL,-27.6492686317995222,-55.5134640126558665,54
540266,DOS ARROYOS,-27.7059575800021491,-55.2673317321972632,54
540273,GOBERNADOR LÓPEZ,-27.6390377593074135,-55.2119796755876422,54
540280,LEANDRO N. ALEM,-27.6166283094589247,-55.330013462700137,54
540294,CAPIOVÍ,-26.9170167064855086,-55.0589446206980284,54
540301,EL ALCÁZAR,-26.8436076435471378,-54.7771362135852371,54
540308,GARUHAPÉ,-26.8872609443925654,-54.9072138973559092,54
540315,LEONI,-26.9961973424162842,-55.1380752661385714,54
540322,PUERTO RICO,-26.8443110448475899,-55.0464275552228131,54
540329,RUIZ DE MONTOYA,-27.0137225461158614,-55.0415994359260381,54
540336,CARAGUATAY,-26.7880792818678692,-54.6714739429374532,54
540350,PUERTO PIRAY,-26.5386325781088708,-54.4261810360779492,54
540357,CAMPO RAMÓN,-27.4792481782820133,-54.9662782162748584,54
540364,CAMPO VIERA,-27.2823846186063825,-55.0718611745211106,54
540371,COLONIA ALBERDI,-27.3573476620483618,-55.201228705264171,54
540378,GRAL. ALVEAR,-27.4190588795895849,-55.18005391556094,54
540385,GUARANÍ,-27.5607188356084478,-55.1766194604071245,54
540392,LOS HELECHOS,-27.5706570338854426,-55.0593874576336972,54
540399,OBERÁ,-27.4524533921177465,-55.1176353030915394,54
540406,PANAMBÍ,-27.6772283781459372,-54.969439087747908,54
540413,SAN MARTÍN,-27.4727246661256359,-55.2627854314175195,54
540420,COLONIA POLANA,-27.0078976283378154,-55.3166124203082816,54
