nombre,cod_prov,cod_depto,cod_loc,cod_bahra,tipo_bahra,lat,lon
MALVINAS ARGENTINAS,06,028,010,06028010008,E,-34.8189583169642,-58.4235610606239
MINISTRO RIVADAVIA,06,028,010,06028010009,E,-34.8556895005541,-58.361646542791
RAFAEL CALZADA,06,028,010,06028010010,E,-34.7911367513318,-58.350598184222
SAN FRANCISCO SOLANO,06,028,010,06028010011,E,-34.7866743578473,-58.3219363521574
SAN JOSE,06,028,010,06028010012,E,-34.7673771924196,-58.3432771404358
AREA CINTURON ECOLOGICO,06,035,010,06035010001,E,-34.6750056478488,-58.3105634248142
AVELLANEDA,06,035,010,06035010002,E,-34.6626508059016,-58.3656990232718
CRUCESITA,06,035,010,06035010003,E,-34.66910587351,-58.3574544412345
DOCK SUD,06,035,010,06035010004,E,-34.6491266928534,-58.3411774769136
GERLI,06,035,010,06035010005,E,-34.6847637540553,-58.3726025503412
PIÑEYRO,06,035,010,06035010006,E,-34.6685497926645,-58.3886029123689
SARANDI,06,035,010,06035010007,E,-34.6843716640855,-58.348101313379
VILLA DOMINICO,06,035,010,06035010008,E,-34.6986315148924,-58.3363602646664
WILDE,06,035,010,06035010009,E,-34.7061588356333,-58.3218349208501
AYACUCHO,06,042,010,06042010000,LS,-37.1536695670417,-58.4895476662462
LA CONSTANCIA,06,042,020,06042020000,LS,-37.2286256057071,-58.7603890048806
SOLANET,06,042,030,06042030000,LS,-36.8444984439739,-58.5071421689017
UDAQUIOLA,06,042,040,06042040000,LS,-36.5637513540211,-58.5333344196536
ARIEL,06,049,010,06049010000,LS,-36.5312544192466,-59.9200651844348
AZUL,06,049,020,06049020000,LS,-36.7795144970313,-59.8586331707414
CACHARI,06,049,030,06049030000,LS,-36.3805626332947,-59.5030645507265
CHILLAR,06,049,040,06049040000,LS,-37.3150113247344,-59.9853181679139
16 DE JULIO,06,049,050,06049050000,LS,-37.2020524773603,-60.1652139181813
BAHIA BLANCA,06,056,010,06056010001,E,-38.7114037284555,-62.2569089501864
GRÜNBEIN,06,056,010,06056010002,E,-38.7471079502848,-62.1891166907456
INGENIERO WHITE,06,056,010,06056010003,E,-38.7794670416666,-62.262951248824
VILLA BORDEAU,06,056,010,06056010004,E,-38.6472605094596,-62.3200223419024
VILLA ESPORA,06,056,010,06056010005,E,-38.7765069529222,-62.1851833537179
CABILDO,06,056,020,06056020000,LS,-38.4838572081944,-61.8926015349487
GENERAL DANIEL CERRI,06,056,030,06056030000,LS,-38.7136524854986,-62.3924221653991
BALCARCE,06,063,010,06063010000,LS,-37.8482779294345,-58.2551665841248
LOS PINOS,06,063,020,06063020000,LS,-37.9412057603,-58.3225920150442
NAPALEOFU,06,063,030,06063030000,LS,-37.6254980210026,-58.7461862359423
RAMOS OTERO,06,063,040,06063040000,LS,-37.5426353712017,-58.3407185507274
SAN AGUSTIN,06,063,050,06063050000,LS,-38.0122838564587,-58.355377761682
VILLA LAGUNA LA BRAVA,06,063,060,06063060000,LS,-37.8596285282151,-57.9806008736401
BARADERO,06,070,010,06070010000,LS,-33.8128781547156,-59.5043068852807
IRINEO PORTELA,06,070,020,06070020000,LS,-33.9810489198561,-59.6715601606315
SANTA COLOMA,06,070,030,06070030000,LS,-34.062154134736,-59.5585420642846
VILLA ALSINA,06,070,040,06070040000,LS,-33.9096038045591,-59.3882017132282
ARRECIFES,06,077,010,06077010000,LS,-34.064591121211,-60.1025564443537
